ID_LOJA,TIPO_RELACIONAMENTO,ESTADO_LOJA,CATEGORIA_PRODUTO,RENDA_ESPERADA,ESTRATEGIA_VENDAS,AVAL_SATISFACAO,VL_LIMITE_CREDITO_INICIAL_BANCO,REGIAO_LOJA,VL_FINANCEIRO_BCB,VL_OPERACAO_CARTAO_CREDITO,VL_LIMITE_CREDITO_BCB,PONTUACAO_DESEMPENHO,TEMPO_EXISTENCIA_ONLINE,AVALIACAO_RISCO,SCORE_INTERNO,RENDA
922686,2,19,0,2199000,0,7.31,60000,2,4265800,3546400,719400,792.0,37,300.0,528.0,242400
938287,1,4,5,300000,2,3.57,50000,2,168700,49500,500,392.0,22,300.0,707.0,235100
939120,2,5,0,650000,1,5.08,40000,2,125900,90900,35000,653.0,27,300.0,462.0,420600
933554,1,25,5,300000,0,6.29,160000,4,1417900,379200,18900,579.0,33,150.0,600.0,340600
948294,2,25,0,1200000,2,9.23,60000,4,402000,206800,195100,792.0,30,300.0,505.0,456900
936984,2,7,5,480000,0,8.55,220000,4,1494800,857300,145800,792.0,31,150.0,448.0,230300
953783,2,1,3,500000,0,6.73,50000,2,6412200,66400,358800,511.0,40,300.0,765.0,209700
947330,2,17,5,630000,0,6.11,50000,3,60800,27600,33200,669.0,45,300.0,462.0,255700
927901,2,25,1,300000,0,6.18,50000,4,153000,0,153000,507.0,68,0.0,467.0,345400
958290,2,18,3,200000,0,6.85,60000,4,461900,119600,342300,911.0,44,300.0,526.0,326000
923364,1,18,5,420000,0,4.36,240000,4,4626600,1891900,1372200,467.0,30,300.0,541.0,381800
953861,2,10,3,600000,0,6.97,50000,4,491000,489100,1900,365.0,52,300.0,392.0,218200
915048,2,25,5,450000,0,4.64,230000,4,15020300,507500,223300,555.0,32,300.0,500.0,332100
935067,0,4,5,160000,0,6.55,130000,2,7159700,4625200,2534500,669.0,49,300.0,498.0,172100
921275,2,15,3,220000,0,5.7,50000,2,1750500,274900,30000,511.0,36,300.0,586.0,152700
927500,1,22,3,500000,1,5.96,50000,3,1333000,580400,61600,425.0,35,150.0,530.0,299400
917927,1,18,5,160000,0,7.38,90000,4,29200,28900,300,708.0,23,300.0,456.0,162400
955051,2,25,5,1000000,0,9.23,300000,4,27806200,2241000,9859000,919.0,49,300.0,573.0,730800
967074,1,4,5,250000,0,4.87,50000,2,170800,141900,0,467.0,36,300.0,492.0,449700
933088,0,18,5,375000,0,6.24,100000,4,235000,34000,201000,776.0,43,300.0,494.0,397500
933398,1,10,5,350000,0,7.22,180000,4,989600,325100,155000,687.0,27,300.0,485.0,272700
930459,1,2,5,300000,0,7.22,190000,1,10168900,1792400,1750500,641.0,44,300.0,897.0,185400
925463,0,17,3,210000,0,6.39,50000,3,180000,69500,110500,511.0,49,150.0,465.0,269100
949460,1,1,5,235800,1,6.37,140000,2,468800,458200,10600,579.0,30,300.0,498.0,137000
915315,1,25,3,600000,1,5.19,40000,4,229000,44900,184100,204.0,20,150.0,612.0,266600
975121,1,25,5,300000,2,7.53,170000,4,25500,25400,100,687.0,32,300.0,446.0,311500
938839,1,10,4,210000,0,5.25,50000,4,689800,265600,253100,500.0,25,1000.0,503.0,175700
932742,1,24,5,300000,0,6.57,230000,2,657700,584700,32500,579.0,37,300.0,562.0,277500
945182,1,19,5,185000,0,8.55,100000,2,617900,493400,124500,613.0,23,150.0,517.0,173300
916383,1,4,5,200000,2,6.89,110000,2,182500,182500,0,500.0,24,150.0,562.0,360000
915226,1,6,5,129000,2,3.15,50000,0,34200,21700,12500,482.0,22,300.0,433.0,443600
936523,2,25,5,320000,2,5.48,140000,4,896600,277100,179900,607.0,34,150.0,422.0,1318700
926755,1,25,5,200000,0,5.48,30000,4,30000,30000,0,392.0,24,300.0,435.0,223000
946277,1,25,5,180000,0,5.98,60000,4,111500,111400,100,500.0,19,300.0,448.0,264200
940832,1,9,4,150000,1,4.8,30000,2,131100,111700,19400,482.0,19,150.0,641.0,95700
975649,0,10,5,290000,0,4.55,30000,4,394100,0,0,400.0,47,300.0,679.0,536900
961806,1,10,5,220000,0,6.95,120000,4,91300,69700,300,579.0,27,150.0,469.0,466600
970980,4,22,1,300000,0,8.17,60000,3,3348100,1674000,240300,792.0,70,300.0,442.0,589000
946688,1,25,5,565500,1,4.91,30000,4,284000,149400,27300,216.0,21,300.0,465.0,208500
967351,4,25,5,250000,2,9.22,150000,4,552900,263700,10400,812.0,26,150.0,440.0,306600
971600,1,18,3,200000,0,3.64,40000,4,100700,0,0,146.0,31,300.0,435.0,355100
957568,2,13,3,500000,0,8.04,60000,1,464000,136600,94300,641.0,24,300.0,467.0,223000
937558,2,25,3,350000,1,6.82,60000,4,497000,461400,12000,622.0,66,150.0,605.0,286000
938564,1,12,3,500000,1,6.07,50000,0,678000,573800,104200,342.0,20,150.0,526.0,363600
980513,2,10,4,200000,1,5.42,40000,4,2016700,339800,81700,555.0,28,150.0,573.0,220600
935039,1,15,5,127000,0,3.85,50000,2,758000,250900,57300,467.0,40,300.0,634.0,129700
939170,2,15,3,250000,0,5.25,50000,2,477600,332800,102400,613.0,32,150.0,634.0,116400
959432,2,24,3,470000,0,8.26,60000,2,150000,32900,117100,622.0,41,300.0,564.0,333300
928906,2,4,3,275000,0,5.36,30000,2,30000,29900,100,511.0,58,300.0,422.0,209700
